,Country,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage
141,Solomon Islands,1,-,4,4,1,1,17,14,27,15,18,102.0,0.00%
142,Afghanistan,-,-,4,5,6,15,15,13,11,16,13,98.0,0.00%
143,Tajikistan,-,2,2,6,4,11,9,9,17,18,19,97.0,0.00%
144,Georgia,1,-,2,6,5,10,7,5,14,21,23,94.0,0.00%
145,Liberia,3,4,5,8,4,12,10,12,13,7,10,88.0,0.00%
146,Macedonia,-,-,3,3,10,7,11,14,10,15,13,86.0,0.00%
147,Zambia,-,3,5,8,3,11,9,9,13,8,15,84.0,0.00%
148,Turkmenistan,3,2,3,3,1,13,5,5,19,15,12,81.0,0.00%
149,Bermuda,4,-,5,1,6,15,9,4,9,5,20,78.0,0.00%
150,Samoa,-,-,3,2,7,3,6,14,22,13,5,75.0,0.00%
151,Tonga,-,-,1,2,2,2,5,13,8,3,37,73.0,0.00%
152,Rwanda,-,2,12,4,5,6,14,6,5,13,4,71.0,0.00%
153,Nicaragua,3,3,1,1,4,7,16,10,13,7,6,71.0,0.00%
154,Moldova,1,-,5,6,6,8,5,8,14,10,6,69.0,0.00%
155,Haiti,-,4,5,1,3,3,14,7,6,7,15,65.0,0.00%
156,Congo Republic Of Cap Brazzaville,-,1,3,7,1,1,8,3,6,3,32,65.0,0.00%
157,Senegal,-,6,2,3,1,8,8,10,10,9,7,64.0,0.00%
158,Somalia,-,-,2,7,9,3,15,5,4,9,6,60.0,0.00%
159,Mozambique,-,1,3,4,1,1,7,4,10,7,20,58.0,0.00%
160,Niger,1,-,2,2,4,2,7,6,10,7,16,57.0,0.00%
161,Seychelles,-,-,5,2,5,3,14,10,2,5,9,55.0,0.00%
162,Bahamas,2,3,-,6,3,6,5,12,9,1,8,55.0,0.00%
163,Paraguay,-,5,1,4,3,5,11,3,5,3,13,53.0,0.00%
164,Guinea,2,4,1,2,4,8,11,6,6,5,3,52.0,0.00%
165,Libya,3,-,1,5,4,7,5,10,10,2,4,51.0,0.00%
166,Azerbaijan,3,-,-,-,3,8,12,4,5,9,7,51.0,0.00%
167,Faroe Islands,-,-,2,6,5,9,4,1,1,9,14,51.0,0.00%
168,Cayman Islands,-,-,4,-,6,10,7,9,1,2,12,51.0,0.00%
169,Liechtenstein,-,4,5,1,4,11,2,2,3,4,13,49.0,0.00%
170,Stateless,5,-,5,1,7,4,9,5,7,2,2,47.0,0.00%
171,Grenada,2,-,5,5,1,7,3,6,3,5,10,47.0,0.00%
172,South Sudan,-,-,2,1,6,9,5,7,4,11,1,46.0,0.00%
173,Malawi,1,1,-,1,4,5,4,6,9,6,8,45.0,0.00%
174,Northern Mariana Islands,-,-,-,-,-,-,-,-,-,-,44,44.0,0.00%
175,Sierra Leone,3,-,2,1,3,2,3,7,9,9,3,42.0,0.00%
176,Guyana,-,3,5,2,5,6,4,5,3,4,3,40.0,0.00%
177,Botswana,-,1,5,1,5,3,8,3,9,5,-,40.0,0.00%
178,British Virgin Islands,-,-,3,1,5,2,1,4,4,5,14,39.0,0.00%
179,Antigua and Barbuda,-,-,3,6,2,5,7,5,6,2,3,39.0,0.00%
180,Benin,-,-,3,2,2,7,3,4,5,8,4,38.0,0.00%
181,Cabo Verde,-,1,4,4,1,3,4,3,4,9,5,38.0,0.00%
182,Montenegro,-,-,1,-,1,5,9,9,4,8,-,37.0,0.00%
183,Gambia,-,-,1,1,2,2,2,13,3,4,8,36.0,0.00%
184,Belize,-,-,4,1,2,4,2,2,7,7,7,36.0,0.00%
185,Burundi,-,-,1,4,-,2,6,10,4,5,4,36.0,0.00%
186,Dominican Republic,-,4,1,1,6,2,2,4,7,8,-,35.0,0.00%
187,Barbados,-,3,2,-,2,5,6,6,6,3,-,33.0,0.00%
188,Cuba,-,-,3,2,2,2,5,4,9,4,2,33.0,0.00%
189,Saint Lucia,-,-,5,6,3,2,3,3,5,4,2,33.0,0.00%
190,Saint Vincent and the Grenadines,-,2,5,1,2,4,8,3,1,5,1,32.0,0.00%
191,Comoros,-,1,-,1,1,3,6,1,10,5,4,32.0,0.00%
192,Kiribati,-,1,1,-,3,2,-,5,8,5,4,29.0,0.00%
193,Togo,-,1,1,4,1,1,3,5,5,2,6,29.0,0.00%
194,Vatican City State,-,2,1,4,3,1,5,4,1,2,4,27.0,0.00%
195,Anguilla,-,-,3,1,-,3,4,2,4,7,1,25.0,0.00%
196,Suriname,-,4,-,1,3,2,-,4,2,8,1,25.0,0.00%
197,Equatorial Guinea,-,-,1,2,2,2,9,2,2,-,5,25.0,0.00%
198,Eswatini,-,-,1,-,1,5,3,-,3,3,9,25.0,0.00%
199,Mauritania,-,3,-,-,-,2,4,5,2,3,5,24.0,0.00%
200,Northern Ireland,2,-,5,-,6,-,2,3,2,2,1,23.0,0.00%
201,Gabon,-,-,2,-,1,1,9,1,1,7,1,23.0,0.00%
202,Burkina Faso,-,-,3,1,1,5,1,4,1,3,1,20.0,0.00%
203,Djibouti,-,1,-,3,-,1,1,1,3,6,3,19.0,0.00%
204,Turks and Caicos,-,-,3,-,4,6,1,-,3,-,1,18.0,0.00%
205,Tuvalu,3,2,-,-,1,-,1,2,6,-,2,17.0,0.00%
206,San Marino,-,-,4,-,1,-,-,4,2,-,4,15.0,0.00%
