Country,Total,Percentage,Previous Total,Growth Rate
Sudan,257.0,0.01,0.0,25700.0
Mauritius,253.0,0.01,0.0,25300.0
Venezuela,245.0,0.01,75.0,226.67
Kyrgyzstan,237.0,0.01,0.0,23700.0
Ethiopia,232.0,0.01,0.0,23200.0
Puerto Rico,229.0,0.01,0.0,22900.0
Tanzania,225.0,0.01,0.0,22500.0
Marshall Islands,223.0,0.01,0.0,22300.0
Ecuador,222.0,0.01,0.0,22200.0
Uganda,220.0,0.01,0.0,22000.0
Zimbabwe,215.0,0.01,0.0,21500.0
Uruguay,213.0,0.01,0.0,21300.0
Macau,209.0,0.01,27.0,674.07
Jamaica,208.0,0.01,0.0,20800.0
Vanuatu,208.0,0.01,0.0,20800.0
Belarus,199.0,0.01,0.0,19900.0
Saint Kitts and Nevis,192.0,0.01,0.0,19200.0
American Samoa,189.0,0.01,0.0,18900.0
Chad,173.0,0.01,0.0,17300.0
Palestine,166.0,0.01,0.0,16600.0
Panama,160.0,0.01,0.0,16000.0
Dominican Republic,160.0,0.01,0.0,16000.0
El Salvador,159.0,0.01,0.0,15900.0
Guatemala,157.0,0.01,0.0,15700.0
Namibia,156.0,0.01,0.0,15600.0
Iraq,155.0,0.01,0.0,15500.0
Trinidad and Tobago,148.0,0.01,0.0,14800.0
Albania,147.0,0.01,0.0,14700.0
Eritrea,132.0,0.0,0.0,13200.0
Madagascar,119.0,0.0,0.0,11900.0
Congo Democratic Republic of,118.0,0.0,0.0,11800.0
Andorra,117.0,0.0,1.0,11600.0
Angola,116.0,0.0,0.0,11600.0
Cote d'Ivoire Ivory Coast,116.0,0.0,0.0,11600.0
Bolivia,115.0,0.0,0.0,11500.0
Mali,111.0,0.0,0.0,11100.0
Honduras,109.0,0.0,0.0,10900.0
Bosnia,107.0,0.0,0.0,10700.0
Bhutan,105.0,0.0,0.0,10500.0
Solomon Islands,102.0,0.0,0.0,10200.0
Afghanistan,98.0,0.0,0.0,9800.0
Tajikistan,97.0,0.0,0.0,9700.0
Georgia,94.0,0.0,0.0,9400.0
Liberia,88.0,0.0,0.0,8800.0
Macedonia,86.0,0.0,0.0,8600.0
Zambia,84.0,0.0,0.0,8400.0
Turkmenistan,81.0,0.0,0.0,8100.0
Bermuda,78.0,0.0,0.0,7800.0
Samoa,75.0,0.0,0.0,7500.0
Tonga,73.0,0.0,0.0,7300.0
Rwanda,71.0,0.0,0.0,7100.0
Nicaragua,71.0,0.0,0.0,7100.0
Moldova,69.0,0.0,0.0,6900.0
Haiti,65.0,0.0,0.0,6500.0
Congo Republic Of Cap Brazzaville,65.0,0.0,0.0,6500.0
Senegal,64.0,0.0,0.0,6400.0
Somalia,60.0,0.0,0.0,6000.0
Mozambique,58.0,0.0,0.0,5800.0
Niger,57.0,0.0,0.0,5700.0
Seychelles,55.0,0.0,0.0,5500.0
Bahamas,55.0,0.0,0.0,5500.0
Paraguay,53.0,0.0,0.0,5300.0
Guinea,52.0,0.0,0.0,5200.0
Libya,51.0,0.0,0.0,5100.0
Azerbaijan,51.0,0.0,0.0,5100.0
Faroe Islands,51.0,0.0,0.0,5100.0
Cayman Islands,51.0,0.0,0.0,5100.0
Liechtenstein,49.0,0.0,0.0,4900.0
Stateless,47.0,0.0,0.0,4700.0
Grenada,47.0,0.0,0.0,4700.0
South Sudan,46.0,0.0,0.0,4600.0
Malawi,45.0,0.0,0.0,4500.0
Northern Mariana Islands,44.0,0.0,0.0,4400.0
Sierra Leone,42.0,0.0,0.0,4200.0
Guyana,40.0,0.0,0.0,4000.0
Botswana,40.0,0.0,0.0,4000.0
British Virgin Islands,39.0,0.0,0.0,3900.0
Antigua and Barbuda,39.0,0.0,0.0,3900.0
Benin,38.0,0.0,0.0,3800.0
Cabo Verde,38.0,0.0,0.0,3800.0
Montenegro,37.0,0.0,0.0,3700.0
Gambia,36.0,0.0,0.0,3600.0
Belize,36.0,0.0,0.0,3600.0
Burundi,36.0,0.0,0.0,3600.0
Dominican Republic,35.0,0.0,0.0,3500.0
Barbados,33.0,0.0,0.0,3300.0
Cuba,33.0,0.0,0.0,3300.0
Saint Lucia,33.0,0.0,0.0,3300.0
Saint Vincent and the Grenadines,32.0,0.0,0.0,3200.0
Comoros,32.0,0.0,0.0,3200.0
Kiribati,29.0,0.0,0.0,2900.0
Togo,29.0,0.0,0.0,2900.0
Vatican City State,27.0,0.0,0.0,2700.0
Anguilla,25.0,0.0,0.0,2500.0
Suriname,25.0,0.0,0.0,2500.0
Equatorial Guinea,25.0,0.0,0.0,2500.0
Eswatini,25.0,0.0,0.0,2500.0
Mauritania,24.0,0.0,0.0,2400.0
Northern Ireland,23.0,0.0,0.0,2300.0
Gabon,23.0,0.0,0.0,2300.0
Burkina Faso,20.0,0.0,0.0,2000.0
Djibouti,19.0,0.0,0.0,1900.0
Turks and Caicos,18.0,0.0,0.0,1800.0
Tuvalu,17.0,0.0,0.0,1700.0
San Marino,15.0,0.0,0.0,1500.0
Pitcairn Islands,15.0,0.0,0.0,1500.0
Kosovo,14.0,0.0,0.0,1400.0
Monaco,14.0,0.0,0.0,1400.0
Virgin Islands Us,13.0,0.0,0.0,1300.0
Nauru,12.0,0.0,0.0,1200.0
Gibraltar,11.0,0.0,0.0,1100.0
Cook Islands,9.0,0.0,0.0,900.0
Lesotho,8.0,0.0,0.0,800.0
Guinea-Bissau,8.0,0.0,0.0,800.0
Saint Helena,7.0,0.0,0.0,700.0
Botswana,7.0,0.0,0.0,700.0
Wales,7.0,0.0,0.0,700.0
Central African Republic,7.0,0.0,0.0,700.0
Niue,6.0,0.0,0.0,600.0
Wales,5.0,0.0,0.0,500.0
Aruba,4.0,0.0,0.0,400.0
Reunion,4.0,0.0,0.0,400.0
Wallis and Futuna,4.0,0.0,0.0,400.0
Bosnia and Herzegovina,4.0,0.0,0.0,400.0
Saint Helena,4.0,0.0,0.0,400.0
Wales,4.0,0.0,0.0,400.0
Sao Tome and Principe,3.0,0.0,0.0,300.0
Martinique,2.0,0.0,0.0,200.0
French Polynesia,2.0,0.0,0.0,200.0
Wales,2.0,0.0,0.0,200.0
Greenland,1.0,0.0,0.0,100.0
Bosnia and Herzegovina,1.0,0.0,0.0,100.0
Antarctica,1.0,0.0,0.0,100.0
Morocco,1.0,0.0,0.0,100.0
